Index,X,Y,Z
0,0.5702059,0.4016089,-0.5580124
1,0.5704811,0.4015315,-0.5578532
2,0.570537,0.4017471,-0.5579833
3,0.5709261,0.4017736,-0.5580268
4,0.5713204,0.4017928,-0.5578231
5,0.5716711,0.4020208,-0.5577334
6,0.5721697,0.401983,-0.5575865
7,0.5726059,0.4020291,-0.5573159
8,0.5728261,0.4020632,-0.5574213
9,0.5732384,0.4020538,-0.5577934
10,0.5740404,0.4026114,-0.5582473
11,0.5749598,0.4029794,-0.5586149
12,0.5758495,0.4033223,-0.5590047
13,0.5774869,0.4039056,-0.5594911
14,0.5798185,0.4041207,-0.559722
15,0.582711,0.4044536,-0.5603976
16,0.5892981,0.4046008,-0.5626435
17,0.5984092,0.4042042,-0.56647
18,0.6106066,0.404141,-0.5718912
19,0.6239086,0.4032142,-0.5780647
20,0.638594,0.4021663,-0.5844522
21,0.6517821,0.4017818,-0.5898597
22,0.6666744,0.4012423,-0.5955001
23,0.6809378,0.4008621,-0.5999802
24,0.6956116,0.4007564,-0.603539
25,0.709978,0.4007738,-0.6059898
26,0.7239563,0.4009685,-0.6084858
27,0.7375923,0.4011849,-0.6092877
28,0.7620174,0.401683,-0.6086356
29,0.7710424,0.4010847,-0.605225
30,0.7804947,0.4004626,-0.6026169
31,0.7876869,0.400212,-0.598729
32,0.7991466,0.3998787,-0.5885382
33,0.8036829,0.4000575,-0.5844821
34,0.8065702,0.4000204,-0.5796133
35,0.8082598,0.3999255,-0.5750877
36,0.8092453,0.4002429,-0.5709857
37,0.8096332,0.3997688,-0.567547
38,0.8068612,0.4004191,-0.5639367
39,0.8025382,0.4019194,-0.5610761
40,0.7974429,0.4029329,-0.5583035
41,0.787976,0.4058483,-0.5566231
42,0.7783985,0.4070296,-0.5546479
43,0.7696397,0.4080649,-0.5526543
44,0.7587496,0.4083986,-0.5513195
45,0.7473002,0.4078782,-0.5501484
46,0.7363786,0.4066613,-0.5503745
47,0.7264482,0.4061713,-0.551347
48,0.7151674,0.404817,-0.5544919
49,0.7049767,0.4047376,-0.5589303
50,0.6955079,0.4047822,-0.5653032
51,0.6853481,0.4046739,-0.5712138
52,0.6747165,0.40341,-0.5778158
53,0.6645649,0.4029339,-0.5829433
54,0.6541548,0.4023618,-0.5882517
55,0.6441115,0.4010945,-0.5948083
56,0.6340469,0.4008915,-0.6007711
57,0.6255374,0.4005976,-0.6073086
58,0.6168003,0.4002706,-0.6135251
59,0.6087934,0.4003392,-0.6203418
60,0.6020469,0.4004439,-0.6275995
61,0.5955787,0.4003817,-0.6352158
62,0.5893136,0.4002483,-0.6426485
63,0.5838555,0.4002921,-0.6501788
64,0.5797942,0.4006376,-0.6573422
65,0.5771047,0.4016638,-0.6630273
66,0.5745935,0.4026241,-0.667854
67,0.5752535,0.4041129,-0.6695158
68,0.5772486,0.4063049,-0.6674705
69,0.5784802,0.4078963,-0.6664293
70,0.5821255,0.4061648,-0.6632749
71,0.583254,0.4041048,-0.6625403
72,0.5837173,0.4025151,-0.6607809
73,0.5837426,0.4035576,-0.6582268
74,0.5835877,0.4030706,-0.6570541
75,0.5831684,0.4032662,-0.6550692
76,0.5832139,0.4032836,-0.6524671
77,0.5836832,0.401962,-0.6502991
78,0.5844131,0.4011138,-0.6483819
79,0.5848769,0.4001339,-0.6472138
