Index,X,Y,Z
0,0.2249695,0.399881,-0.3577294
1,0.2276853,0.4008322,-0.3577513
2,0.2289673,0.4021381,-0.3576025
3,0.2291232,0.4026288,-0.3566929
4,0.2287656,0.4019925,-0.3565428
5,0.2279734,0.4012892,-0.3571747
6,0.2268491,0.4010751,-0.3583565
7,0.2261412,0.4003111,-0.3591933
8,0.225646,0.3998674,-0.3591491
9,0.2253431,0.4000055,-0.3589489
10,0.2259666,0.4000968,-0.3587836
11,0.2265597,0.4005422,-0.3583391
12,0.226651,0.4011004,-0.3582876
13,0.2265204,0.4009676,-0.3583935
14,0.2262182,0.40079,-0.3583919
15,0.2255815,0.4004695,-0.3587483
16,0.2251684,0.4001591,-0.3590653
17,0.2247107,0.39977,-0.3593002
18,0.224487,0.3995336,-0.3593965
19,0.2243249,0.399243,-0.3593892
20,0.2240294,0.399103,-0.359337
21,0.2237949,0.3988863,-0.3595888
22,0.22361,0.3987533,-0.3599436
23,0.2232698,0.3986332,-0.3597885
24,0.2230294,0.3987924,-0.3598934
25,0.2232188,0.3990389,-0.3600803
26,0.2235259,0.3991831,-0.3606051
27,0.2238227,0.3992903,-0.361
28,0.2240352,0.3995936,-0.3610655
29,0.2237978,0.3997776,-0.3606032
30,0.2237591,0.399848,-0.3603759
31,0.2243958,0.4000984,-0.3597798
32,0.2272357,0.4002192,-0.3589315
33,0.2311511,0.399693,-0.3580128
34,0.2365521,0.4008356,-0.3566415
35,0.2393787,0.4027735,-0.3551886
36,0.2394556,0.405667,-0.3543731
37,0.2385135,0.4050042,-0.3516236
38,0.2360338,0.4021497,-0.3535102
39,0.2335217,0.4005665,-0.3563244
40,0.2291232,0.3979855,-0.361824
41,0.226625,0.3949907,-0.3664148
42,0.2257079,0.3934968,-0.3694892
43,0.2287765,0.3930876,-0.3701392
44,0.2308784,0.3949669,-0.3682957
45,0.2349324,0.399948,-0.3635969
46,0.2383206,0.4038331,-0.3601845
47,0.2408056,0.4069336,-0.3592483
48,0.2444416,0.4075546,-0.359506
49,0.2479879,0.4097836,-0.3615629
50,0.2528529,0.4103827,-0.3652206
51,0.2583473,0.4102636,-0.3677905
52,0.2694287,0.4057371,-0.3698278
53,0.2867554,0.3991536,-0.3677225
54,0.3074282,0.3982484,-0.3565084
55,0.326966,0.4002443,-0.3495301
56,0.3364238,0.408468,-0.3446135
57,0.3431993,0.4164875,-0.3401132
58,0.3317465,0.4181119,-0.3431091
59,0.3275129,0.4201097,-0.3448126
60,0.3176362,0.4148071,-0.3505665
61,0.3123656,0.4061084,-0.3528407
62,0.3081861,0.3998967,-0.3552758
63,0.3050221,0.3962847,-0.3561663
64,0.3082965,0.394961,-0.3594767
65,0.3169524,0.3972275,-0.3594663
66,0.3257701,0.3999056,-0.3583542
67,0.3392032,0.4026969,-0.3514389
68,0.3471003,0.4040523,-0.3448299
69,0.3536759,0.4044541,-0.3423955
70,0.3592728,0.4071276,-0.3426251
71,0.363086,0.4096121,-0.3454144
72,0.3598335,0.4107636,-0.351001
73,0.3473262,0.4091392,-0.3531026
74,0.3416777,0.4096489,-0.3507788
75,0.3381711,0.4020832,-0.3524675
76,0.3396236,0.395651,-0.3487242
77,0.3412974,0.4032893,-0.3526099
78,0.3506636,0.4069789,-0.3513727
79,0.3535888,0.4121373,-0.3507881
80,0.3575785,0.4108215,-0.3519696
81,0.363766,0.40829,-0.3544623
82,0.3817979,0.403354,-0.3576637
83,0.399701,0.3951107,-0.3553722
84,0.4230803,0.3971309,-0.3535127
85,0.44456,0.403232,-0.3499262
86,0.4570706,0.4118588,-0.3481981
87,0.4635811,0.4183136,-0.345075
88,0.4593007,0.4196274,-0.3455034
89,0.4503114,0.4196882,-0.3498075
90,0.4425317,0.419376,-0.351149
91,0.4309706,0.409533,-0.3546686
92,0.4260269,0.4030804,-0.3521842
93,0.4240294,0.3974049,-0.3501007
94,0.4216804,0.4036599,-0.3498822
95,0.4274231,0.4064022,-0.3482716
96,0.434062,0.4094565,-0.3470515
97,0.4360279,0.411686,-0.3461972
98,0.4388102,0.4108015,-0.3432584
99,0.4432198,0.408593,-0.3417321
100,0.4578148,0.4038484,-0.3404729
101,0.4694707,0.4027625,-0.3394973
102,0.4881822,0.4056745,-0.3404185
103,0.505262,0.4069387,-0.3399744
104,0.5202259,0.4052255,-0.340594
105,0.5285788,0.4102343,-0.3413992
106,0.5363944,0.4126592,-0.3426023
107,0.5365933,0.411717,-0.34484
108,0.5318127,0.4127869,-0.3481012
109,0.5263385,0.4112458,-0.3481745
110,0.524017,0.4077801,-0.3481093
111,0.5257711,0.405732,-0.346731
112,0.5329404,0.402283,-0.3453684
113,0.549781,0.400607,-0.3421108
114,0.5658992,0.4037118,-0.3389418
115,0.5869823,0.407869,-0.3325005
116,0.6017806,0.4103116,-0.3303508
117,0.6077668,0.4136235,-0.3321004
118,0.6048413,0.4147973,-0.3359355
119,0.5946513,0.4151665,-0.3404061
120,0.5844044,0.4138429,-0.3443264
121,0.5803031,0.4102238,-0.3458912
122,0.5799342,0.4050347,-0.3435767
123,0.5768133,0.4051113,-0.3414852
124,0.584434,0.41046,-0.3401397
125,0.5938525,0.4094301,-0.3440772
126,0.5982677,0.409854,-0.3460701
127,0.6155124,0.4071316,-0.3499064
128,0.6350099,0.4066784,-0.3555739
129,0.6530507,0.4063139,-0.3608298
130,0.6706395,0.4055526,-0.3655125
131,0.6798822,0.411387,-0.3689192
132,0.6743587,0.4225041,-0.3675379
133,0.65723,0.4270426,-0.3633558
134,0.6493762,0.4144969,-0.3630662
135,0.6464152,0.4008668,-0.3587902
136,0.6425946,0.3996555,-0.3503551
137,0.6456682,0.4054374,-0.35486
138,0.6548225,0.4123598,-0.3589982
139,0.6621288,0.4129981,-0.3627727
140,0.6743359,0.4090407,-0.3658707
141,0.7072343,0.4000298,-0.3708831
142,0.7407526,0.3915005,-0.3693815
143,0.7772533,0.3835427,-0.3650754
144,0.8112342,0.3764357,-0.3725473
145,0.8300908,0.376675,-0.3750911
146,0.8318782,0.4023595,-0.386578
147,0.830559,0.4177316,-0.4001885
148,0.8229507,0.4160686,-0.4077791
149,0.8147379,0.4205175,-0.4120284
150,0.7944328,0.4068364,-0.4087768
151,0.7857715,0.4011913,-0.407519
152,0.7805806,0.3872979,-0.3995863
153,0.7863969,0.3943394,-0.3880391
154,0.7906446,0.3883809,-0.3840604
155,0.7981042,0.3807934,-0.3817008
156,0.8149048,0.3942058,-0.3818838
157,0.8401222,0.3962944,-0.3870798
158,0.8603795,0.3987641,-0.3956367
159,0.8824421,0.4000418,-0.3949296
160,0.9041983,0.3993369,-0.4022656
161,0.9249229,0.396693,-0.4095514
162,0.9378405,0.3985191,-0.4177348
163,0.9366405,0.4109154,-0.4272379
164,0.9403163,0.4131849,-0.4353799
165,0.9371257,0.4122759,-0.4378477
166,0.9314655,0.4107296,-0.4374996
167,0.9316345,0.4062284,-0.4334073
168,0.9376153,0.401492,-0.4235452
169,0.9449494,0.3962602,-0.4170804
170,0.9544097,0.3922387,-0.410705
171,0.9671147,0.3991244,-0.3992547
172,0.9733015,0.4030326,-0.3987715
173,0.9800111,0.4065081,-0.4045729
174,0.9896553,0.4103026,-0.4049869
175,1.000121,0.410221,-0.4097073
176,1.008181,0.40981,-0.4185577
177,1.014588,0.4081601,-0.4269868
178,1.017907,0.4074211,-0.4371554
179,1.020499,0.4068156,-0.4468187
180,1.017945,0.4076721,-0.4573964
181,1.015393,0.4075693,-0.467185
182,1.015374,0.4066224,-0.4777183
183,1.018104,0.4106268,-0.4807708
184,1.022432,0.4134233,-0.4841638
185,1.027083,0.4162952,-0.4810396
186,1.028628,0.4185921,-0.474574
187,1.030021,0.418911,-0.4712631
188,1.028841,0.4141586,-0.4673922
189,1.026807,0.4112635,-0.4653577
190,1.022065,0.4058096,-0.4631397
191,1.01775,0.4023564,-0.4614139
192,1.013624,0.399528,-0.4596026
193,1.012953,0.3979242,-0.4566496
194,1.013143,0.3972923,-0.4561589
195,1.014531,0.4008831,-0.4611947
196,1.016683,0.4035509,-0.4629736
197,1.017988,0.4064114,-0.4639222
198,1.017088,0.4068695,-0.4649886
199,1.016905,0.4069623,-0.4645302
200,1.015584,0.406248,-0.46493
201,1.014811,0.4047455,-0.4638813
202,1.013877,0.4033025,-0.4626303
203,1.01264,0.4025901,-0.4621545
204,1.011915,0.4019623,-0.4612151
205,1.010673,0.4012171,-0.4602735
206,1.009534,0.4006724,-0.4599299
207,1.009,0.4001956,-0.459686
