Index,X,Y,Z
0,0.2273458,0.404634,-0.4407247
1,0.2319584,0.407469,-0.4381974
2,0.2325459,0.4077561,-0.4356883
3,0.2319738,0.4074726,-0.4347125
4,0.2305197,0.4067292,-0.4348357
5,0.2300504,0.4068646,-0.4338128
6,0.2313149,0.4073905,-0.4319501
7,0.2340068,0.4077391,-0.4264821
8,0.2361042,0.4076881,-0.4203361
9,0.2401543,0.4078155,-0.4079918
10,0.2471137,0.4072647,-0.3930494
11,0.2563772,0.4062802,-0.3761335
12,0.265605,0.4068351,-0.3608256
13,0.2801863,0.4087817,-0.3424194
14,0.2916169,0.4096003,-0.3278002
15,0.3060911,0.4099656,-0.3149394
16,0.3215635,0.4099715,-0.3035411
17,0.3383727,0.409589,-0.2944928
18,0.3553898,0.4093964,-0.2854022
19,0.3751725,0.4091831,-0.2775882
20,0.3950957,0.408914,-0.2696076
21,0.4150369,0.4090055,-0.260901
22,0.4349968,0.4092391,-0.252022
23,0.4561834,0.4090826,-0.2436814
24,0.4778484,0.4090976,-0.2365516
25,0.5002077,0.4085581,-0.2295979
26,0.5233139,0.4071591,-0.2235546
27,0.5460467,0.4072749,-0.2174703
28,0.5708727,0.4107094,-0.2134983
29,0.5964626,0.4114522,-0.2086141
30,0.6212039,0.4122067,-0.205719
31,0.6471307,0.411791,-0.2060524
32,0.6727293,0.4109378,-0.2088381
33,0.6982206,0.4109456,-0.2149412
34,0.7244145,0.4098174,-0.2240596
35,0.7492675,0.4093647,-0.2304258
36,0.7731038,0.4102939,-0.2403836
37,0.7971354,0.4103531,-0.2495033
38,0.8183491,0.4102356,-0.2624547
39,0.835214,0.4092813,-0.27801
40,0.8540401,0.4092002,-0.2913025
41,0.8702509,0.4103606,-0.3061794
42,0.8882547,0.410713,-0.3202908
43,0.9063244,0.4102006,-0.333874
44,0.9234172,0.4102239,-0.3485593
45,0.9413471,0.4099386,-0.3632711
46,0.9570144,0.4112115,-0.3806014
47,0.9702048,0.4135562,-0.3956536
48,0.9905829,0.4154778,-0.4201018
49,0.9984789,0.4163293,-0.4309383
50,0.9998912,0.4151916,-0.4380867
51,1.001887,0.4151474,-0.4466276
52,1.005939,0.414767,-0.4555821
53,1.008662,0.4137321,-0.4644899
54,1.0124,0.4132863,-0.4735776
55,1.01474,0.4136464,-0.4810331
56,1.018207,0.4137634,-0.4878348
57,1.021012,0.4148615,-0.4915072
58,1.01939,0.4088943,-0.4976465
59,1.018606,0.4084691,-0.4973046
60,1.017397,0.4073124,-0.4970895
61,1.01429,0.406188,-0.4953475
62,1.010787,0.4051313,-0.4940441
63,1.007625,0.4038859,-0.4932663
