Index,X,Y,Z
0,0.3367347,0.4013641,-0.3836706
1,0.3346899,0.4001246,-0.3772306
2,0.3347517,0.4019789,-0.3717315
3,0.3330429,0.4018068,-0.3675208
4,0.3336925,0.4010562,-0.3671057
5,0.3359237,0.4011584,-0.3688637
6,0.3380239,0.4025049,-0.3729927
7,0.3383898,0.4023672,-0.3769478
8,0.3381006,0.4009621,-0.3790327
9,0.3372592,0.3996452,-0.3794299
10,0.3357344,0.3994727,-0.3792163
11,0.3359423,0.3997843,-0.3779699
12,0.3365639,0.4005025,-0.3762538
13,0.3375881,0.4013875,-0.3746053
14,0.3385398,0.401618,-0.373128
15,0.3394696,0.4014125,-0.3703961
16,0.3402629,0.4008118,-0.3667197
17,0.3412435,0.400616,-0.3631561
18,0.3425592,0.4000886,-0.3578727
19,0.3437003,0.4004447,-0.3517432
20,0.3448269,0.4006607,-0.3448734
21,0.3482069,0.4010062,-0.3370205
22,0.3518508,0.401026,-0.3294123
23,0.3565261,0.4016595,-0.3204919
24,0.3618742,0.4039636,-0.3110942
25,0.3669359,0.4049484,-0.3017251
26,0.3730438,0.4049729,-0.2920147
27,0.3791461,0.4048372,-0.2831397
28,0.3854966,0.4050733,-0.2745711
29,0.3940016,0.4051482,-0.2668687
30,0.4017186,0.4046347,-0.2592051
31,0.409609,0.4043957,-0.25113
32,0.4188202,0.4037475,-0.2427365
33,0.4304949,0.4034565,-0.233301
34,0.4411501,0.4037927,-0.2234235
35,0.4540323,0.4042073,-0.2124699
36,0.466306,0.4040763,-0.201905
37,0.4802265,0.4039683,-0.1908317
38,0.4949398,0.4040248,-0.1809694
39,0.5088378,0.4044895,-0.1717369
40,0.5242344,0.4053089,-0.1633646
41,0.5395356,0.4066438,-0.1555755
42,0.5563851,0.4067504,-0.1499752
43,0.5723133,0.4064097,-0.1436543
44,0.5897118,0.4060781,-0.1391968
45,0.6074305,0.4062309,-0.1358072
46,0.6251977,0.4063573,-0.1320564
47,0.6440655,0.40708,-0.1309621
48,0.6616132,0.4069399,-0.1283295
49,0.6785493,0.4068515,-0.1275732
50,0.6959395,0.4067922,-0.1277504
51,0.7135822,0.4064794,-0.1287098
52,0.7310867,0.4060643,-0.1308403
53,0.7490966,0.4056623,-0.1334262
54,0.7670063,0.4050085,-0.1358034
55,0.7852778,0.4047477,-0.1393319
56,0.8029866,0.4048824,-0.1423508
57,0.819083,0.405262,-0.1473393
58,0.834635,0.4060658,-0.1523393
59,0.8491635,0.4080527,-0.1590782
60,0.8634139,0.4077259,-0.1665207
61,0.8763828,0.4079564,-0.1748951
62,0.8883752,0.4081682,-0.1830916
63,0.9009234,0.4077041,-0.1915185
64,0.9118297,0.4077887,-0.2015468
65,0.9224278,0.4089245,-0.212271
66,0.9322028,0.4092155,-0.2227581
67,0.9421951,0.4097943,-0.2324526
68,0.9499047,0.4098445,-0.2418062
69,0.9570338,0.40977,-0.2516873
70,0.9636952,0.4096428,-0.2612466
71,0.9684575,0.409309,-0.2705967
72,0.973478,0.4098649,-0.2794772
73,0.9788678,0.409645,-0.2879781
74,0.9821807,0.4092236,-0.2965123
75,0.9860986,0.412266,-0.3031855
76,0.9892548,0.4130659,-0.3118185
77,0.99108,0.4132508,-0.3191639
78,0.991367,0.4101468,-0.3275198
79,0.9930595,0.4103901,-0.3337522
80,0.9938425,0.410543,-0.3376944
81,0.9941779,0.4103451,-0.3403529
82,0.9940689,0.4103794,-0.3414989
83,0.9942318,0.4103701,-0.3425028
84,0.9934407,0.4102127,-0.34109
85,0.9923905,0.4103347,-0.3387313
86,0.9915452,0.4101264,-0.3356672
87,0.9908675,0.4092659,-0.3326868
88,0.9907463,0.4073334,-0.330364
89,0.9905888,0.4063236,-0.3291061
90,0.9906908,0.4064261,-0.3290773
91,0.9905192,0.407058,-0.3301667
92,0.9910296,0.4078492,-0.3317369
93,0.9911445,0.408166,-0.3315793
94,0.9908318,0.4076542,-0.3307952
95,0.9902157,0.4066899,-0.3305525
96,0.9900371,0.4062748,-0.3303843
