Index,X,Y,Z
0,0.4659238,0.3851772,-0.5356259
1,0.4643687,0.3852189,-0.5312384
2,0.4639386,0.3850153,-0.5272692
3,0.4632144,0.3836699,-0.5239468
4,0.465843,0.3829068,-0.5194831
5,0.4713233,0.3823636,-0.5139828
6,0.4746982,0.3806026,-0.5048954
7,0.4795531,0.3794208,-0.4937387
8,0.4828546,0.3859072,-0.4703366
9,0.4845789,0.3886909,-0.4510994
10,0.4871031,0.3905651,-0.4244244
11,0.4909894,0.3904804,-0.4013355
12,0.4987937,0.3889027,-0.3787985
13,0.5139223,0.3882528,-0.3579767
14,0.5385416,0.3849526,-0.3419483
15,0.56954,0.3835506,-0.3305904
16,0.6017253,0.3886426,-0.3205996
17,0.6279824,0.3907055,-0.3120458
18,0.6557264,0.3923342,-0.3076647
19,0.6810095,0.3944173,-0.3030337
20,0.7046444,0.3950943,-0.3017414
21,0.7284401,0.3953739,-0.3022404
22,0.7519024,0.3947925,-0.3053774
23,0.775439,0.3937562,-0.3111418
24,0.8011078,0.3935072,-0.3217509
25,0.8262032,0.3931148,-0.3321946
26,0.8511552,0.3927477,-0.3487799
27,0.8741375,0.3932536,-0.366742
28,0.8941638,0.3939976,-0.3860184
29,0.9104009,0.3946038,-0.4071508
30,0.9256996,0.3945573,-0.4277518
31,0.930512,0.3941088,-0.4556657
32,0.9383425,0.394435,-0.4801342
33,0.9385556,0.394917,-0.507107
34,0.9362881,0.3945287,-0.5355247
35,0.9325404,0.3950326,-0.5639069
36,0.9299791,0.3958903,-0.5919526
37,0.9236735,0.3946578,-0.6224654
38,0.9164692,0.3951699,-0.6518299
39,0.9072281,0.3950161,-0.6811001
40,0.8956468,0.3921128,-0.7108654
41,0.8836719,0.3918986,-0.7385218
42,0.8656645,0.3913714,-0.7619638
43,0.8439221,0.3911523,-0.7817053
44,0.8190174,0.3918386,-0.7950501
45,0.7946606,0.391551,-0.806362
46,0.7640129,0.3914689,-0.8019531
47,0.7383499,0.3919529,-0.8034533
48,0.7104681,0.3925605,-0.7944222
49,0.6828316,0.3912434,-0.788859
50,0.6538687,0.3909492,-0.7742012
51,0.6244289,0.3910529,-0.7585425
52,0.5960692,0.3898372,-0.7435599
53,0.5698622,0.39092,-0.7260745
54,0.5447065,0.3921591,-0.709074
55,0.5272605,0.3928989,-0.6851029
56,0.5107442,0.3927766,-0.665339
57,0.4983638,0.3915389,-0.6406995
58,0.4880811,0.3891537,-0.6163578
59,0.4760543,0.3889036,-0.5920125
60,0.4671347,0.3896762,-0.5671149
61,0.4607542,0.3926557,-0.5450912
62,0.4569664,0.3905582,-0.5262074
63,0.4548758,0.3878189,-0.5116342
64,0.4558799,0.3842057,-0.5024197
65,0.4603807,0.3804139,-0.4997922
66,0.4634677,0.3798282,-0.4977442
67,0.4698929,0.3822342,-0.5037309
68,0.475628,0.3844238,-0.5118888
69,0.4801436,0.3851132,-0.5183832
70,0.4833287,0.3851389,-0.5220796
71,0.4840152,0.3837622,-0.5239727
72,0.4834758,0.3831851,-0.5249789
73,0.4806389,0.3843861,-0.5238392
74,0.4782022,0.3846771,-0.5245747
75,0.4748138,0.3854857,-0.5259135
76,0.4718154,0.3871008,-0.5270022
77,0.4702081,0.3876466,-0.5290313
78,0.4696364,0.388251,-0.5301645
79,0.4698427,0.3882108,-0.5299127
80,0.4702807,0.3881614,-0.5295917
81,0.4710646,0.3882403,-0.5280235
82,0.470951,0.3878542,-0.5267183
83,0.4713915,0.3876068,-0.526172
