Index,X,Y,Z
0,0.3118552,0.3969298,-0.5398998
1,0.3117535,0.3969094,-0.5400172
2,0.3117027,0.3969786,-0.5401558
3,0.3116437,0.39701,-0.5403204
4,0.3115755,0.3970331,-0.5404986
5,0.3115766,0.3970823,-0.5406214
6,0.311544,0.397151,-0.5407943
7,0.3116021,0.3972719,-0.5408921
8,0.3113773,0.3971825,-0.5409375
9,0.3117106,0.3972819,-0.5406194
10,0.3121072,0.3973276,-0.5401024
11,0.3128027,0.3972574,-0.5392152
12,0.3132852,0.3972127,-0.5379608
13,0.3138011,0.3972567,-0.5370209
14,0.3146346,0.39691,-0.5357406
15,0.3155147,0.3967771,-0.5342975
16,0.3170552,0.3967612,-0.5309471
17,0.3198594,0.397197,-0.5262349
18,0.3225721,0.3974138,-0.5209243
19,0.3265408,0.3984363,-0.5093058
20,0.3310623,0.3995467,-0.4985148
21,0.3387865,0.4001364,-0.4793783
22,0.3455499,0.3999012,-0.4580326
23,0.3512551,0.4001848,-0.440868
24,0.3550285,0.3992813,-0.4256003
25,0.3597953,0.3994128,-0.4118343
26,0.3707576,0.4010461,-0.4012066
27,0.3852369,0.3996862,-0.3937474
28,0.4016573,0.3993787,-0.3873303
29,0.4160498,0.400598,-0.3802859
30,0.431779,0.4016098,-0.3743411
31,0.4470922,0.401938,-0.3681081
32,0.4630263,0.4028759,-0.3616093
33,0.4787028,0.4026272,-0.3560614
34,0.4944319,0.4028319,-0.3500438
35,0.5112051,0.402986,-0.3460849
36,0.5279948,0.4025151,-0.3438061
37,0.5440878,0.4022835,-0.3433818
38,0.5591003,0.402951,-0.346383
39,0.573504,0.4035139,-0.3515578
40,0.5879291,0.4040315,-0.3577701
41,0.6027541,0.4044549,-0.3614934
42,0.6187505,0.4041662,-0.3717785
43,0.6342369,0.4039703,-0.3794202
44,0.6494693,0.4035368,-0.3901338
45,0.6636516,0.4035204,-0.4034189
46,0.6773561,0.4034467,-0.4147803
47,0.6899073,0.4035581,-0.4288784
48,0.7018732,0.4037893,-0.444351
49,0.7129132,0.4036949,-0.4613152
50,0.7235386,0.4034457,-0.4795549
51,0.7342813,0.4033219,-0.4973003
52,0.7431063,0.4033437,-0.5172784
53,0.7518005,0.4031754,-0.5362791
54,0.7575554,0.4031604,-0.5570536
55,0.7625219,0.4028963,-0.5769363
56,0.7668379,0.4024944,-0.5958774
57,0.7685614,0.4025845,-0.6148687
58,0.7697807,0.4021561,-0.6335623
59,0.7663835,0.4013695,-0.6513667
60,0.7606338,0.4012997,-0.6682668
61,0.7522148,0.4005274,-0.6848266
62,0.7437804,0.3999187,-0.7009823
63,0.727995,0.4000615,-0.7139252
64,0.7159413,0.4000278,-0.7282032
65,0.6998553,0.4000163,-0.7397574
66,0.6831167,0.4002028,-0.7508671
67,0.6673882,0.4005295,-0.7628555
68,0.6486292,0.4004638,-0.7731793
69,0.6300367,0.4003622,-0.7828002
70,0.6112968,0.4005212,-0.792179
71,0.5918972,0.400249,-0.7999499
72,0.5728164,0.399997,-0.8065554
73,0.5542956,0.4000265,-0.8122669
74,0.5350394,0.3996283,-0.8174153
75,0.5156717,0.3991841,-0.8196656
76,0.4969964,0.3989083,-0.8202798
77,0.4779286,0.3981879,-0.8204041
78,0.4612573,0.3983654,-0.8136076
79,0.4447955,0.3983773,-0.8092391
80,0.4289645,0.3986821,-0.7998799
81,0.4139008,0.3992832,-0.789198
82,0.3984801,0.3990055,-0.77931
83,0.3841878,0.3990115,-0.7648411
84,0.3694658,0.3990213,-0.7529895
85,0.3564046,0.3987675,-0.7392255
86,0.3438415,0.3986426,-0.7251315
87,0.3311959,0.3984051,-0.7112817
88,0.3207531,0.3980616,-0.6958796
89,0.312452,0.3979371,-0.6800616
90,0.3062537,0.3976991,-0.6631035
91,0.3002892,0.3975338,-0.647148
92,0.2979808,0.3973635,-0.6291934
93,0.2929346,0.3976288,-0.6122615
94,0.2897312,0.3981763,-0.5954453
95,0.2884072,0.398949,-0.5792869
96,0.2880025,0.3990575,-0.5637892
97,0.2870107,0.3991069,-0.5478884
98,0.2881696,0.3992324,-0.5335328
99,0.2892823,0.399131,-0.5208571
100,0.2899403,0.399126,-0.5082543
101,0.292408,0.3993021,-0.4980807
102,0.2961183,0.3991165,-0.4918107
103,0.298412,0.3989226,-0.4838934
104,0.3011769,0.3980303,-0.4800008
105,0.304566,0.3979845,-0.4772711
106,0.3075718,0.3974304,-0.4745842
