Index,X,Y,Z
0,0.6973487,0.3939859,-0.4891676
1,0.6974589,0.3939071,-0.4889424
2,0.6994955,0.3949687,-0.4883976
3,0.7016082,0.3962637,-0.4890397
4,0.7026389,0.3979216,-0.4893813
5,0.7037596,0.3989349,-0.4893026
6,0.703943,0.3986783,-0.4892262
7,0.703642,0.3980022,-0.4890831
8,0.7037625,0.3974076,-0.4889893
9,0.7043476,0.3972417,-0.4890091
10,0.70548,0.3978862,-0.4889148
11,0.7064865,0.3988707,-0.4889162
12,0.70714,0.399573,-0.4885704
13,0.7074585,0.3993396,-0.4884245
14,0.7077941,0.39909,-0.4884291
15,0.7083805,0.3984858,-0.4878409
16,0.7095518,0.3984324,-0.487127
17,0.7103947,0.3989248,-0.4869787
18,0.7115018,0.3997988,-0.4873229
19,0.7127736,0.4004095,-0.4878355
20,0.7141724,0.4012697,-0.4885214
21,0.7163852,0.4016455,-0.4883573
22,0.7200931,0.401984,-0.4868308
23,0.7255139,0.4023691,-0.4838664
24,0.7327505,0.4031098,-0.479487
25,0.7412676,0.4043923,-0.4741208
26,0.7497779,0.4056913,-0.4701225
27,0.7617984,0.408095,-0.4662369
28,0.7752044,0.4086267,-0.462507
29,0.788588,0.4094963,-0.4587603
30,0.8055895,0.4093164,-0.4560618
31,0.8213265,0.4090215,-0.4540902
32,0.8354369,0.4084534,-0.4538476
33,0.847901,0.4072458,-0.4530473
34,0.8601547,0.4043399,-0.4523595
35,0.8711654,0.3981122,-0.4505751
36,0.8829387,0.3919973,-0.4458155
37,0.8963807,0.3880491,-0.4384165
38,0.9074244,0.39715,-0.42794
39,0.9208203,0.3984886,-0.4208331
40,0.9346253,0.4012992,-0.4105779
41,0.9462115,0.4004963,-0.3993253
42,0.9573,0.4009823,-0.3860237
43,0.9673136,0.4011044,-0.3724083
44,0.9777254,0.4006949,-0.3588246
45,0.9857751,0.3996425,-0.3443283
46,0.9930266,0.3988384,-0.329479
47,0.9997782,0.3985239,-0.3153594
48,1.005762,0.3984042,-0.3012235
49,1.011213,0.3985879,-0.2874715
50,1.015314,0.3997317,-0.2736932
51,1.015921,0.4006048,-0.2585902
52,1.011059,0.4010338,-0.2408762
53,1.003848,0.4008963,-0.2240194
54,0.9968559,0.4007205,-0.2080044
55,0.9834535,0.4001705,-0.1926971
56,0.9700354,0.3994623,-0.178269
57,0.9486871,0.399294,-0.1649255
58,0.9321829,0.3994212,-0.1512897
59,0.9101503,0.4002433,-0.140784
60,0.892109,0.4003746,-0.1290569
61,0.8716041,0.4005812,-0.1195079
62,0.8501801,0.4007659,-0.1104638
63,0.8274621,0.4002445,-0.1038514
64,0.7993569,0.3937279,-0.1018255
65,0.7542694,0.3927695,-0.09449447
66,0.7326028,0.3926614,-0.09419619
67,0.7107292,0.3924226,-0.09330776
68,0.6921989,0.3921097,-0.09695209
69,0.6772143,0.3929736,-0.1028358
70,0.6671994,0.3930347,-0.1117229
71,0.6607938,0.3929769,-0.1202191
72,0.6546851,0.3933313,-0.1274233
73,0.6523998,0.3939752,-0.1374647
74,0.6480485,0.3951954,-0.1491418
75,0.6417074,0.395794,-0.1630923
76,0.6337157,0.3957086,-0.1762677
77,0.6257094,0.3944056,-0.1934227
78,0.6188086,0.3934566,-0.2084536
79,0.6158055,0.3915543,-0.2236019
80,0.6143053,0.3901001,-0.2377881
81,0.6180711,0.3898779,-0.2530423
82,0.6259101,0.391147,-0.2679511
83,0.6363961,0.3924353,-0.2821604
84,0.6478634,0.3930285,-0.2956043
85,0.6604996,0.3934952,-0.3082553
86,0.6733943,0.3936822,-0.3214353
87,0.6852705,0.3938984,-0.3356692
88,0.6986085,0.3940775,-0.3502804
89,0.7122781,0.393598,-0.3644696
90,0.7257066,0.3927504,-0.3782191
91,0.7417693,0.3913137,-0.3912167
92,0.7574572,0.3904967,-0.4045968
93,0.7758288,0.3897551,-0.4165273
94,0.7940329,0.389115,-0.4284079
95,0.8140735,0.3895726,-0.4384016
96,0.8359631,0.3918963,-0.4461716
97,0.8562386,0.3936624,-0.4542123
98,0.8759001,0.394864,-0.4615797
99,0.8937767,0.3965463,-0.4697447
100,0.9075223,0.3995057,-0.4755698
101,0.9209443,0.4011624,-0.4818932
102,0.9290451,0.4031932,-0.4871572
103,0.9335896,0.4045817,-0.4908931
104,0.9325345,0.4045191,-0.4935484
105,0.9327314,0.4039241,-0.4949645
106,0.9309369,0.4012557,-0.4950091
107,0.9307628,0.4002868,-0.4948537
108,0.9297322,0.3984683,-0.4925109
109,0.9281953,0.3980237,-0.490389
110,0.9265996,0.3995251,-0.4899441
111,0.9251412,0.4010023,-0.4884935
112,0.9229531,0.3996012,-0.4880925
113,0.921584,0.3977312,-0.4901684
114,0.9196714,0.3976479,-0.4903816
115,0.9209042,0.3972915,-0.4915788
116,0.9225684,0.3983709,-0.4906939
117,0.925543,0.4000669,-0.4889791
118,0.9271895,0.4005318,-0.4872392
119,0.9274048,0.4007975,-0.4868177
