Index,X,Y,Z
0,0.9014242,0.40655,-0.400841
1,0.902908,0.4061147,-0.4009099
2,0.9046424,0.4057623,-0.3995183
3,0.9010444,0.4028831,-0.3985429
4,0.8930793,0.4001611,-0.3969598
5,0.8822038,0.3985896,-0.3940772
6,0.8696078,0.3986043,-0.3895519
7,0.8482904,0.3987796,-0.3821901
8,0.8215038,0.3994156,-0.3710216
9,0.7915735,0.3999914,-0.3569147
10,0.7652316,0.3988278,-0.3421668
11,0.7447135,0.3978218,-0.3295362
12,0.727796,0.397992,-0.3181142
13,0.713382,0.3982539,-0.3084674
14,0.6975173,0.3987174,-0.3008179
15,0.6840941,0.4019527,-0.2995532
16,0.669779,0.4043329,-0.2958208
17,0.6595803,0.4069144,-0.2965302
18,0.6527431,0.4076548,-0.2999003
19,0.6496373,0.405839,-0.3083748
20,0.6507774,0.4040283,-0.3207589
21,0.6526316,0.4032111,-0.3333083
22,0.6614713,0.4042502,-0.3509672
23,0.669889,0.4055283,-0.3706824
24,0.6793129,0.4042446,-0.3915034
25,0.6883981,0.40096,-0.4126113
26,0.7003058,0.3985925,-0.4377545
27,0.7104695,0.4014415,-0.4614766
28,0.7173613,0.4041752,-0.4853065
29,0.7195528,0.4063103,-0.5041227
30,0.7134786,0.4103863,-0.5169053
31,0.7061039,0.413195,-0.5260928
32,0.6817898,0.4136367,-0.5212765
33,0.6642373,0.4129746,-0.5191106
34,0.6381665,0.4090979,-0.5048347
35,0.6150569,0.4066156,-0.4930186
36,0.5888479,0.4044983,-0.4742488
37,0.5637481,0.4060084,-0.4576268
38,0.5391451,0.40666,-0.4416008
39,0.5152075,0.4090963,-0.4255135
40,0.4924482,0.4096553,-0.4110766
41,0.4716875,0.4099604,-0.3948728
42,0.4530905,0.4092744,-0.3799573
43,0.4345006,0.4089226,-0.3663765
44,0.4202643,0.4081361,-0.3562199
45,0.4113119,0.406906,-0.3525188
46,0.4009822,0.4059817,-0.3477253
47,0.4027397,0.4055164,-0.3537734
48,0.4007622,0.4057274,-0.3560147
49,0.4052634,0.4060178,-0.362734
50,0.4076527,0.4056295,-0.3670095
51,0.4163584,0.4062219,-0.3711324
52,0.4212369,0.406346,-0.3725941
53,0.4249482,0.407898,-0.3733495
54,0.4210393,0.406617,-0.3734727
55,0.4179727,0.4076058,-0.3743174
56,0.4143918,0.4072804,-0.3727588
57,0.4145579,0.4064937,-0.3696715
58,0.4164312,0.4059423,-0.3691864
59,0.4189123,0.4046591,-0.3691743
60,0.4195384,0.4035681,-0.3696568
61,0.4205177,0.402223,-0.3706909
62,0.4211264,0.4014339,-0.3711245
63,0.4216614,0.4010237,-0.3704827
64,0.4206395,0.4014342,-0.3689889
65,0.419567,0.4019217,-0.3670409
66,0.4190879,0.4015469,-0.3655861
67,0.4194453,0.4012066,-0.3653835
68,0.4198197,0.4003579,-0.3654742
69,0.4209746,0.3996988,-0.3659609
70,0.4215214,0.3994474,-0.3664238
71,0.4223815,0.4001717,-0.3669463
72,0.4221996,0.4007597,-0.3671598
73,0.4221191,0.4012669,-0.367911
74,0.4232374,0.4018279,-0.3687674
75,0.423698,0.4017956,-0.3690194
76,0.4241613,0.4020028,-0.3695823
