Index,X,Y,Z
0,0.9147269,0.4078095,-0.4866737
1,0.9109629,0.4163585,-0.4893682
2,0.9138176,0.4182705,-0.4885378
3,0.9174779,0.4145846,-0.4838776
4,0.9234082,0.4100634,-0.4831553
5,0.9298342,0.4068342,-0.4771008
6,0.9285137,0.4052005,-0.4761534
7,0.9232903,0.4067536,-0.4764633
8,0.9197727,0.4065038,-0.4745741
9,0.9210696,0.4060791,-0.473708
10,0.9219922,0.4041682,-0.4716696
11,0.922609,0.4018409,-0.4678162
12,0.9218436,0.4005793,-0.4629312
13,0.9139158,0.3973028,-0.4530172
14,0.8991639,0.4010766,-0.438452
15,0.8809859,0.4019003,-0.4229227
16,0.8474461,0.404313,-0.3997754
17,0.8244085,0.4041319,-0.3801237
18,0.8006158,0.40135,-0.3624604
19,0.7801946,0.3988881,-0.3478414
20,0.7613149,0.3942035,-0.3390231
21,0.7437979,0.3927851,-0.3312595
22,0.7300076,0.3955899,-0.32759
23,0.7216122,0.4004169,-0.3261754
24,0.7110048,0.4029148,-0.3233051
25,0.7030678,0.4048463,-0.3255125
26,0.6924024,0.4055206,-0.325045
27,0.6815879,0.4043368,-0.3280286
28,0.671775,0.4011026,-0.3350711
29,0.6647997,0.3989276,-0.3452022
30,0.6613041,0.3983762,-0.3592406
31,0.6633415,0.4013072,-0.3739761
32,0.6668496,0.4029925,-0.389139
33,0.6772064,0.4039061,-0.4099214
34,0.6885217,0.4037388,-0.4325658
35,0.6979516,0.4034465,-0.4546457
36,0.7086261,0.403278,-0.4816422
37,0.7170998,0.402399,-0.5092493
38,0.7234385,0.4035533,-0.5378112
39,0.7281681,0.4040282,-0.5645401
40,0.7263985,0.4050547,-0.5915684
41,0.7216958,0.4068212,-0.61851
42,0.7148725,0.407416,-0.6426586
43,0.7001321,0.4096343,-0.6615278
44,0.691204,0.4113947,-0.6813093
45,0.6783839,0.4109173,-0.6926907
46,0.6651084,0.4110501,-0.6990981
47,0.6514215,0.4110814,-0.6999724
48,0.6378208,0.4102591,-0.6961878
49,0.6248971,0.4095324,-0.688064
50,0.613455,0.4095409,-0.6810114
51,0.6055977,0.4099029,-0.6681983
52,0.5989916,0.4100992,-0.6534885
53,0.5922088,0.4093038,-0.6396452
54,0.5862328,0.4082834,-0.6185837
55,0.5782133,0.4074007,-0.6010892
56,0.5673757,0.4077492,-0.5791003
57,0.5564336,0.4059398,-0.55996
58,0.5472839,0.4037797,-0.545011
59,0.5383766,0.4019085,-0.5312251
60,0.5300264,0.4029459,-0.5200673
61,0.5194883,0.4035792,-0.5094587
62,0.5075519,0.4047887,-0.5003103
63,0.495663,0.4058394,-0.4902365
64,0.4837595,0.4058676,-0.4810022
65,0.473024,0.4057841,-0.4705577
66,0.4632553,0.4050503,-0.4603212
67,0.4539729,0.4038132,-0.4504485
68,0.4460739,0.4031393,-0.4421731
69,0.439167,0.40194,-0.4361543
70,0.4319613,0.4012292,-0.4291461
71,0.4316133,0.3995934,-0.4313338
72,0.4310793,0.3991862,-0.4324118
73,0.4372366,0.3996912,-0.4389603
74,0.4450047,0.4019337,-0.4467413
75,0.4525024,0.4036524,-0.4536648
76,0.455412,0.4041175,-0.4563962
77,0.4522536,0.4021268,-0.4570837
78,0.4490108,0.4041232,-0.4566432
79,0.4474022,0.4055189,-0.4545336
80,0.4438421,0.404988,-0.4507964
81,0.4474112,0.4045064,-0.450538
82,0.4495474,0.4026048,-0.4513491
83,0.4513493,0.4013003,-0.4520094
84,0.452353,0.4010934,-0.4526279
85,0.4514933,0.4024346,-0.4534475
86,0.4497783,0.4039783,-0.4544489
87,0.4490223,0.4046823,-0.4550654
88,0.4489653,0.4047543,-0.4553682
89,0.4493101,0.4045929,-0.4554996
90,0.4500185,0.4042596,-0.4548629
91,0.4498827,0.4036843,-0.4539259
92,0.4495326,0.4031591,-0.452888
93,0.4496244,0.4029755,-0.4524578
94,0.4494801,0.4026624,-0.452232
95,0.4495184,0.4025367,-0.4525132
96,0.4495802,0.402737,-0.4530653
97,0.4493251,0.4028093,-0.4532363
