Index,X,Y,Z
0,0.6906397,0.3896858,-0.5453698
1,0.6904411,0.3895468,-0.5454305
2,0.6904719,0.3896998,-0.5454002
3,0.6908285,0.3904187,-0.5449635
4,0.6906778,0.3903764,-0.5450437
5,0.6905869,0.3906314,-0.5449256
6,0.6907247,0.3914157,-0.5445508
7,0.690655,0.3914037,-0.5445905
8,0.6902951,0.3903627,-0.5453092
9,0.6907918,0.3911183,-0.5447969
10,0.6909204,0.3912121,-0.5446951
11,0.6908204,0.3907454,-0.5448269
12,0.6911736,0.3914006,-0.544013
13,0.6909456,0.3912354,-0.543468
14,0.6902589,0.3904336,-0.5431003
15,0.6894848,0.3905346,-0.5419829
16,0.6880296,0.3897683,-0.5413892
17,0.6871027,0.3894682,-0.5405971
18,0.6867536,0.3895683,-0.5395172
19,0.6863416,0.389011,-0.5388585
20,0.6851575,0.3884484,-0.5384438
21,0.6835757,0.389435,-0.5370217
22,0.6807678,0.3896739,-0.5356104
23,0.6749151,0.3902879,-0.5329159
24,0.6678311,0.3919352,-0.5282522
25,0.6585252,0.3919671,-0.5232732
26,0.6489097,0.3910272,-0.5185649
27,0.6362703,0.3895759,-0.5128906
28,0.6229385,0.3878326,-0.5075907
29,0.6099198,0.3867408,-0.5025531
30,0.5974377,0.3852269,-0.4984473
31,0.5846676,0.3849813,-0.4934599
32,0.5730094,0.3830968,-0.489601
33,0.5637244,0.3819959,-0.4842617
34,0.5544479,0.3799087,-0.4781962
35,0.5462915,0.3804761,-0.4694543
36,0.5386541,0.3815737,-0.4594314
37,0.5302915,0.3827379,-0.4493636
38,0.5220331,0.3838686,-0.4383079
39,0.5128888,0.3842354,-0.4273884
40,0.5030326,0.3838445,-0.4166658
41,0.4928353,0.3827776,-0.4058878
42,0.4844107,0.3842477,-0.3933296
43,0.4749861,0.3826408,-0.3817616
44,0.4673678,0.3835511,-0.3685721
45,0.461082,0.3827733,-0.3556766
46,0.4564694,0.3824678,-0.342154
47,0.4548998,0.3843527,-0.3265949
48,0.4528753,0.3839572,-0.312425
49,0.4599783,0.386782,-0.2939848
50,0.4622947,0.3865393,-0.2780353
51,0.47136,0.3872429,-0.2595429
52,0.4829861,0.388646,-0.242375
53,0.4929324,0.3885288,-0.2285862
54,0.5021897,0.3895278,-0.2152821
55,0.514031,0.3925476,-0.2058086
56,0.5236214,0.3927543,-0.1989675
57,0.5347959,0.3919894,-0.1943653
58,0.5477455,0.3907002,-0.1908842
59,0.5589431,0.3915458,-0.186662
60,0.568289,0.3915021,-0.1863657
61,0.5782264,0.392273,-0.188941
62,0.5866013,0.3930449,-0.1964119
63,0.5938917,0.398315,-0.2046037
64,0.597737,0.4003789,-0.2145855
65,0.6018662,0.4000877,-0.2231168
66,0.6034344,0.3994182,-0.2327024
67,0.6026009,0.3984953,-0.2410482
68,0.6037049,0.3991427,-0.2490208
69,0.6018186,0.3966151,-0.257732
70,0.5999925,0.3953865,-0.2642284
71,0.5988814,0.3948781,-0.2686472
72,0.5984089,0.3938931,-0.2724282
73,0.5977494,0.3937696,-0.2728078
74,0.5975887,0.3936275,-0.2741429
75,0.5976636,0.3943512,-0.2748492
76,0.5981023,0.3941798,-0.2760115
77,0.5993584,0.39435,-0.2761645
78,0.5996068,0.394428,-0.2765753
79,0.6044966,0.3961951,-0.2759565
80,0.6070229,0.3961142,-0.2763458
81,0.6104481,0.3973749,-0.2765237
82,0.6130199,0.3973391,-0.2774471
83,0.6140803,0.3959601,-0.2788041
84,0.6149168,0.3951524,-0.2804797
85,0.6168595,0.3952904,-0.279876
86,0.6193388,0.3951393,-0.2784689
87,0.6221614,0.3953976,-0.2761212
88,0.6254989,0.3960411,-0.2737113
89,0.6295726,0.3962413,-0.2698933
90,0.6353589,0.3956252,-0.2651342
91,0.641506,0.3958617,-0.2603942
