Index,X,Y,Z
0,0.7781668,0.4085349,-0.6474574
1,0.7781602,0.4085836,-0.6475162
2,0.7782444,0.4085931,-0.6475727
3,0.7782874,0.4085754,-0.6475286
4,0.7782472,0.4086369,-0.6476231
5,0.7783039,0.4085922,-0.6477168
6,0.7781701,0.4085125,-0.6476196
7,0.7780439,0.4084456,-0.6475917
8,0.7779871,0.408321,-0.6475672
9,0.7779597,0.4082017,-0.647459
10,0.7780398,0.4082898,-0.6476338
11,0.7781397,0.4082375,-0.6478053
12,0.7780339,0.4081146,-0.6476409
13,0.7777961,0.4080247,-0.6476135
14,0.7777206,0.4079296,-0.6475748
15,0.7775774,0.4077414,-0.647473
16,0.777545,0.4077478,-0.6474945
17,0.7776405,0.4077873,-0.647492
18,0.777705,0.4078107,-0.6474862
19,0.7776605,0.4077755,-0.6475194
20,0.7776564,0.4078147,-0.6474581
21,0.7776148,0.4077154,-0.6474196
22,0.7775599,0.4076991,-0.6474451
23,0.7776023,0.4076658,-0.6474857
24,0.777473,0.4071562,-0.6478512
25,0.7774756,0.40715,-0.6479353
26,0.7777283,0.4075722,-0.6477566
27,0.7777355,0.4075502,-0.6477487
28,0.7776852,0.4075547,-0.6477768
29,0.7777264,0.4077948,-0.6475394
30,0.7777635,0.4077806,-0.6474747
31,0.7778633,0.4077983,-0.6474838
32,0.7779627,0.4079392,-0.6473793
33,0.7780715,0.4079918,-0.6473229
34,0.7781718,0.408044,-0.6473076
35,0.7783118,0.4081745,-0.6472704
36,0.778309,0.4082028,-0.647191
37,0.7782993,0.4082512,-0.6472151
38,0.7785556,0.4085046,-0.6472234
39,0.7786539,0.4086491,-0.6471208
40,0.7788184,0.4089022,-0.6471229
41,0.7788543,0.4092335,-0.6469783
42,0.7788256,0.4094348,-0.6469209
43,0.7786465,0.4096888,-0.6467814
44,0.7784342,0.409925,-0.6463982
45,0.7782431,0.4101573,-0.6460453
46,0.7778017,0.4100998,-0.6454344
47,0.7772536,0.4102101,-0.6447729
48,0.7761897,0.4102517,-0.6436157
49,0.7745878,0.4095645,-0.6424735
50,0.7730821,0.4091974,-0.6415827
51,0.7714175,0.4090239,-0.6397121
52,0.7705224,0.4092656,-0.6372121
53,0.7702464,0.4108258,-0.6319413
54,0.7696222,0.4137087,-0.6240811
55,0.7671998,0.4163174,-0.6160434
56,0.7635629,0.4185219,-0.6073693
57,0.7602954,0.4204431,-0.5990649
58,0.7558964,0.4224818,-0.5890684
59,0.7518743,0.424328,-0.5792813
60,0.7465451,0.425424,-0.5663457
61,0.7418422,0.4265373,-0.5547416
62,0.736702,0.4265617,-0.5409254
63,0.7317448,0.4261519,-0.5275025
64,0.726038,0.4239513,-0.511904
65,0.7207617,0.4225147,-0.4971502
66,0.7150571,0.4195149,-0.4805377
67,0.7091584,0.4177757,-0.4651095
68,0.7031469,0.416094,-0.4490454
69,0.6970777,0.4152721,-0.4336407
70,0.6909121,0.4150016,-0.4188785
71,0.6857811,0.4154652,-0.4044647
72,0.6822761,0.4166792,-0.3903938
73,0.6806769,0.4185552,-0.3757731
74,0.6813081,0.4211103,-0.3613218
75,0.6827819,0.4228875,-0.3467501
76,0.6888809,0.4240741,-0.3322318
77,0.692858,0.4241827,-0.317868
78,0.6982886,0.4229118,-0.3039525
79,0.7026976,0.4211878,-0.2902066
80,0.7134618,0.416325,-0.2654005
81,0.7190585,0.415934,-0.2535469
82,0.7243734,0.4180459,-0.2440788
83,0.7299884,0.4206738,-0.2370118
84,0.7363382,0.4216436,-0.229165
85,0.7426385,0.4221898,-0.2222689
86,0.7479664,0.4223192,-0.2143247
87,0.7519627,0.4216616,-0.2081558
88,0.7548888,0.4213119,-0.2022589
89,0.7555175,0.4199807,-0.1979919
90,0.7546802,0.4181165,-0.1944325
91,0.7539512,0.4159345,-0.1915199
92,0.7525216,0.4144447,-0.1905054
93,0.7522473,0.413318,-0.1898736
94,0.750227,0.4126411,-0.1929168
95,0.7490237,0.4114462,-0.1942667
96,0.7477525,0.4101484,-0.1967992
97,0.7444659,0.4112123,-0.2023149
98,0.7427052,0.4113419,-0.2056127
99,0.7375345,0.4053599,-0.2104935
100,0.734875,0.4051968,-0.2125615
101,0.7302103,0.4048332,-0.2135144
102,0.7272786,0.4075477,-0.2123964
103,0.7225853,0.4068268,-0.2130363
104,0.7178385,0.4067623,-0.2145537
105,0.7117422,0.4072758,-0.2171261
106,0.7051096,0.4077554,-0.21831
107,0.6972204,0.4079898,-0.219682
108,0.6889891,0.4079031,-0.2221892
109,0.6785169,0.4079264,-0.2255867
110,0.666524,0.4077539,-0.2306285
111,0.6531231,0.4075035,-0.2372822
112,0.6399886,0.4071313,-0.2451061
113,0.627641,0.4067056,-0.2529289
114,0.6158479,0.4059028,-0.2601898
115,0.6050222,0.4056871,-0.2687388
116,0.5943752,0.4057592,-0.2778459
117,0.5840262,0.4057704,-0.2871716
118,0.5737115,0.4061044,-0.2982621
119,0.5619315,0.406015,-0.3106744
120,0.5489015,0.4056711,-0.3242533
121,0.5353352,0.4052991,-0.3395408
122,0.5218809,0.4046107,-0.3547947
123,0.5109978,0.4082924,-0.368939
124,0.4965886,0.4055185,-0.3888927
125,0.4844222,0.4048063,-0.4059155
126,0.4742119,0.4059933,-0.4216677
127,0.4649751,0.4059084,-0.437267
128,0.4556229,0.4059504,-0.4512907
129,0.4486496,0.4055631,-0.4635757
130,0.44277,0.4044419,-0.4729044
131,0.4370847,0.4040226,-0.480904
132,0.4351879,0.404648,-0.4802578
133,0.4310283,0.4043376,-0.4830728
134,0.4283895,0.4049163,-0.4837434
135,0.4272704,0.4054456,-0.4815052
136,0.4280367,0.4051487,-0.4784391
137,0.4280684,0.4045949,-0.4777894
138,0.4294828,0.4035581,-0.4757351
139,0.4337366,0.4033026,-0.4732181
140,0.4373152,0.4036981,-0.4718271
141,0.4429254,0.4072928,-0.4714285
142,0.4471275,0.4088941,-0.4713129
143,0.4525143,0.4092313,-0.4718344
144,0.4567261,0.4088142,-0.4723798
145,0.4638701,0.4063851,-0.4717424
146,0.4715722,0.4047459,-0.4701979
147,0.4832925,0.4038748,-0.4671
148,0.4973705,0.4046487,-0.4628785
149,0.5139037,0.4061728,-0.4572722
150,0.5308319,0.4072724,-0.4520771
151,0.5475003,0.4082283,-0.4479167
152,0.5667518,0.4080632,-0.444227
153,0.5856404,0.4081223,-0.4421845
154,0.6051318,0.4085414,-0.4411255
155,0.6245143,0.4085515,-0.4403422
156,0.6445958,0.408217,-0.4415245
157,0.6644912,0.4084994,-0.4418999
158,0.6855462,0.4090899,-0.4440495
159,0.7061423,0.4093633,-0.4449712
160,0.7266351,0.4099576,-0.4474212
161,0.7465618,0.4098738,-0.4495432
162,0.7661383,0.4096231,-0.4521017
163,0.7851371,0.4092418,-0.454871
164,0.8039929,0.4089132,-0.4580203
165,0.8220758,0.4084163,-0.4609004
166,0.8393481,0.4086881,-0.4634049
167,0.8536692,0.4101368,-0.4660946
168,0.8662561,0.4115016,-0.4685888
169,0.8798277,0.4126634,-0.470444
170,0.8898587,0.4129843,-0.4714506
171,0.9011299,0.4132479,-0.4729142
172,0.9090149,0.4140864,-0.4736275
173,0.91553,0.4147503,-0.4741236
174,0.9222249,0.4150523,-0.474335
175,0.9253141,0.4149695,-0.4723428
176,0.9303291,0.4145658,-0.4718241
177,0.9322897,0.4145189,-0.4715694
178,0.933697,0.414733,-0.472045
179,0.933838,0.414759,-0.4724637
180,0.9341588,0.4148373,-0.4728038
181,0.9308167,0.4150264,-0.4735127
182,0.9258557,0.4151475,-0.4743045
183,0.9214036,0.413927,-0.4751253
184,0.917137,0.4121619,-0.4759059
185,0.9136261,0.4112336,-0.4769026
186,0.9112329,0.4098477,-0.4795423
187,0.9089736,0.4102774,-0.4832052
188,0.9045719,0.4114503,-0.4889369
189,0.8995569,0.4116144,-0.4950457
190,0.8904206,0.4118713,-0.5050441
191,0.8821479,0.4118354,-0.5123844
192,0.8714727,0.4114177,-0.5208733
193,0.8597136,0.4106874,-0.530044
194,0.8471344,0.409867,-0.5409211
195,0.8349168,0.4092391,-0.5513122
196,0.8209089,0.4082417,-0.5634467
197,0.806715,0.4082985,-0.5757459
198,0.7912192,0.4081295,-0.5889195
199,0.7757366,0.4080467,-0.6018508
200,0.7609761,0.4078234,-0.614178
201,0.7470372,0.4097268,-0.6251377
202,0.734144,0.4097087,-0.6368229
203,0.7234496,0.4099523,-0.646981
204,0.7126065,0.4090719,-0.6578192
205,0.7046821,0.4100825,-0.6665018
206,0.6973198,0.4106456,-0.6745538
207,0.6910349,0.4107186,-0.681459
208,0.6858174,0.4094975,-0.6872706
209,0.6825125,0.4087617,-0.6915945
210,0.6793762,0.4078065,-0.6958157
211,0.6793043,0.4069522,-0.6970368
212,0.6799213,0.4068447,-0.6979921
213,0.679556,0.4064855,-0.6995067
214,0.6814002,0.4068396,-0.6979199
215,0.683127,0.4073383,-0.6965959
216,0.6849626,0.4084055,-0.6949644
217,0.6874841,0.4085367,-0.6922915
218,0.6904121,0.4077919,-0.6913905
219,0.6916538,0.4079091,-0.6909937
220,0.6908339,0.4089223,-0.6920964
221,0.6896135,0.4095912,-0.6936004
222,0.6890548,0.4098139,-0.6944437
223,0.6890085,0.408904,-0.6933154
224,0.6896246,0.4085401,-0.6926606
225,0.690089,0.4085589,-0.6915821
226,0.6896236,0.4083963,-0.6911914
227,0.689136,0.4084782,-0.6911992
228,0.6889092,0.4087541,-0.6910046
229,0.688715,0.4087803,-0.6908733
230,0.6886538,0.4087993,-0.6909872
231,0.6884879,0.4087626,-0.6911216
232,0.6881288,0.408737,-0.6915026
233,0.6879323,0.4086399,-0.6917273
234,0.6878594,0.40858,-0.6919459
235,0.6877937,0.4084569,-0.6918809
236,0.687934,0.4085017,-0.6920238
237,0.6880304,0.4083526,-0.692469
238,0.688073,0.4082183,-0.6923275
239,0.6880575,0.4081742,-0.6924458
240,0.6879705,0.4080645,-0.6924589
241,0.6876578,0.4077506,-0.6924441
242,0.6875104,0.4075469,-0.6925147
243,0.6874377,0.4074002,-0.692488
244,0.6873165,0.4071535,-0.6923804
245,0.6872444,0.4070949,-0.6924356
246,0.6872297,0.4069366,-0.6924793
247,0.6870884,0.4067001,-0.692305
248,0.6870213,0.4068041,-0.6923411
249,0.6871069,0.4067476,-0.6926022
250,0.6870223,0.4067642,-0.6925451
251,0.6870125,0.4067972,-0.6926653
252,0.6871833,0.4068757,-0.6927497
253,0.6873332,0.406994,-0.6928697
254,0.6872822,0.4072433,-0.693106
255,0.686985,0.4073831,-0.6933726
