Index,X,Y,Z
0,0.6885,0.3943899,-0.4825738
1,0.6883743,0.3950697,-0.4838303
2,0.6887957,0.3965447,-0.4848814
3,0.6891032,0.3984406,-0.4862835
4,0.6894722,0.3995733,-0.4874218
5,0.6900063,0.4000804,-0.4876196
6,0.6901219,0.3993176,-0.4868283
7,0.6899794,0.398936,-0.4866253
8,0.6903695,0.3993604,-0.4865441
9,0.6909,0.3994815,-0.4872928
10,0.6930555,0.3994378,-0.4890262
11,0.6971657,0.3986582,-0.4921735
12,0.7038329,0.3973577,-0.4974137
13,0.7113091,0.3964071,-0.5035366
14,0.7233511,0.3955019,-0.5135298
15,0.7371785,0.3952265,-0.5265737
16,0.7508782,0.3958486,-0.5432373
17,0.7627683,0.3961262,-0.5602791
18,0.7754688,0.3974344,-0.5836117
19,0.7871156,0.3989859,-0.6100183
20,0.7966419,0.3998773,-0.6382622
21,0.8036884,0.4006231,-0.6676439
22,0.8092933,0.4006224,-0.6950149
23,0.8095764,0.4012295,-0.7236947
24,0.8070725,0.4009216,-0.7541797
25,0.8021511,0.4006304,-0.7848754
26,0.7946081,0.4002701,-0.8176908
27,0.7882822,0.4003299,-0.8499534
28,0.7783474,0.4001351,-0.8854175
29,0.7656751,0.4003285,-0.9209988
30,0.7531881,0.4018669,-0.9554293
31,0.733389,0.404816,-0.9894029
32,0.7152838,0.4057977,-1.021661
33,0.6938823,0.407425,-1.048921
34,0.6738278,0.4109668,-1.070467
35,0.654956,0.4124319,-1.08896
36,0.6394575,0.4141164,-1.092867
37,0.6256163,0.4149214,-1.101591
38,0.6139904,0.4148711,-1.106638
39,0.6099185,0.4115883,-1.102339
40,0.6044663,0.4093718,-1.105398
41,0.5950378,0.4085697,-1.111951
42,0.5904202,0.4074825,-1.114881
43,0.5838037,0.4059837,-1.119142
44,0.5761277,0.4044671,-1.124166
45,0.5693624,0.4048077,-1.128317
46,0.5632646,0.4068035,-1.132045
47,0.5586867,0.4068739,-1.137094
48,0.5548714,0.4074526,-1.141974
49,0.5545824,0.4072359,-1.145051
50,0.5526335,0.4069965,-1.148072
51,0.5541881,0.4072948,-1.149495
52,0.5561532,0.4074214,-1.146602
53,0.5570544,0.4078444,-1.142886
54,0.5611594,0.4081258,-1.137586
55,0.5652953,0.4056033,-1.13349
56,0.5691886,0.4032669,-1.130726
57,0.5733769,0.4020807,-1.129625
58,0.576705,0.4006004,-1.127799
59,0.5791853,0.3994605,-1.124677
60,0.5815716,0.3992512,-1.117279
61,0.5851145,0.4049925,-1.102775
62,0.5877989,0.4078545,-1.08769
63,0.5914655,0.4101813,-1.065018
64,0.5954508,0.4107682,-1.047943
