Index,X,Y,Z
0,0.7010108,0.4019123,-0.5278618
1,0.7000228,0.4013086,-0.5271874
2,0.6986743,0.4007709,-0.5247822
3,0.6978462,0.4001194,-0.5227599
4,0.6969104,0.3993033,-0.5211669
5,0.6965419,0.3983035,-0.5204905
6,0.6965111,0.3980503,-0.5201452
7,0.6968662,0.3987823,-0.5203773
8,0.6968607,0.3995282,-0.5208085
9,0.6968873,0.3998616,-0.5209139
10,0.6969272,0.39993,-0.5205981
11,0.6967724,0.3998432,-0.5201153
12,0.6970376,0.3992397,-0.5194881
13,0.6974127,0.3990954,-0.519374
14,0.6975451,0.3995522,-0.5199016
15,0.6978847,0.3998627,-0.5203906
16,0.698335,0.4003892,-0.5213411
17,0.6982961,0.4006684,-0.5225939
18,0.6985836,0.4005894,-0.5241423
19,0.7004853,0.400277,-0.5276185
20,0.7035763,0.3995317,-0.5313581
21,0.7087693,0.3982377,-0.5369284
22,0.7181926,0.396149,-0.5471944
23,0.7327554,0.3943622,-0.564193
24,0.7468783,0.3936049,-0.582522
25,0.7591931,0.3936465,-0.6014895
26,0.7719198,0.3952206,-0.6272488
27,0.7825031,0.3964985,-0.6555092
28,0.7901949,0.3971227,-0.6824397
29,0.7924508,0.3981211,-0.7140002
30,0.7944518,0.3981563,-0.7411254
31,0.795794,0.4009582,-0.7672125
32,0.789601,0.4026537,-0.7931445
33,0.7866612,0.4035763,-0.8185858
34,0.7812921,0.4041878,-0.8431181
35,0.7783238,0.4042721,-0.8670886
36,0.7735763,0.403563,-0.8908758
37,0.768377,0.4035694,-0.9135827
38,0.7628672,0.4043604,-0.9360294
39,0.7579187,0.4049384,-0.958107
40,0.7513712,0.4050889,-0.9789074
41,0.7441377,0.4062286,-0.9979625
42,0.7369027,0.4070964,-1.015641
43,0.7284485,0.4069522,-1.031008
44,0.7196857,0.4075766,-1.045348
45,0.7114892,0.407623,-1.060391
46,0.7016183,0.4067854,-1.072241
47,0.6920718,0.4064534,-1.084416
48,0.682941,0.4064997,-1.096756
49,0.6718621,0.4065268,-1.105092
50,0.6616327,0.4066148,-1.11521
51,0.6511761,0.4064584,-1.122825
52,0.6407791,0.4056659,-1.129306
53,0.6306636,0.4051606,-1.136168
54,0.6212215,0.404559,-1.140835
55,0.6123347,0.4044181,-1.14472
56,0.6041047,0.4045042,-1.147959
57,0.5957543,0.4041382,-1.151983
58,0.5899603,0.4047275,-1.154363
59,0.5851044,0.4046386,-1.156618
60,0.5817803,0.4048593,-1.159171
61,0.5794485,0.4061605,-1.162309
62,0.5799311,0.4060989,-1.164658
63,0.5818172,0.4059022,-1.166869
64,0.5859837,0.4066978,-1.167782
65,0.5897442,0.4059178,-1.166358
66,0.5919067,0.4046236,-1.165768
67,0.594578,0.4018986,-1.164978
68,0.5966185,0.4000683,-1.16371
69,0.5972223,0.4011803,-1.161617
70,0.5981053,0.401746,-1.160425
71,0.5992547,0.4018598,-1.158518
72,0.6009803,0.4024939,-1.157412
