Index,X,Y,Z
0,0.5715055,0.3995163,-0.4082631
1,0.5730267,0.3977129,-0.4052257
2,0.5731461,0.3964959,-0.4056409
3,0.5731425,0.3978088,-0.4079218
4,0.5739167,0.4008234,-0.4100905
5,0.5751024,0.4016977,-0.4127141
6,0.5783498,0.4016978,-0.4166175
7,0.5830833,0.4016547,-0.4200602
8,0.5931607,0.3985946,-0.4306283
9,0.6027427,0.3968039,-0.4435076
10,0.6114357,0.3956015,-0.4566203
11,0.6200663,0.3966866,-0.4750426
12,0.6247039,0.3988486,-0.4975383
13,0.6265028,0.3992882,-0.5198637
14,0.6259834,0.4006633,-0.5489185
15,0.6232616,0.4010133,-0.578418
16,0.6199674,0.3991639,-0.6089292
17,0.6191073,0.39841,-0.6409554
18,0.6178362,0.3977143,-0.6730043
19,0.615284,0.3983254,-0.7035674
20,0.6116139,0.3989777,-0.7384622
21,0.6061823,0.3987922,-0.7721628
22,0.5987675,0.4001974,-0.8042282
23,0.5820993,0.4020759,-0.8373023
24,0.5682644,0.4031006,-0.8685572
25,0.550184,0.4053727,-0.8972754
26,0.5311342,0.4060398,-0.9231043
27,0.5125378,0.4073001,-0.9465678
28,0.4935284,0.4087102,-0.9663741
29,0.4752756,0.4100074,-0.9798049
30,0.4585702,0.4109712,-0.9953843
31,0.4457945,0.4108478,-1.003937
32,0.4361188,0.4101757,-1.006602
33,0.4281637,0.4105361,-1.010169
34,0.4302498,0.409523,-1.000458
35,0.4296671,0.4084697,-0.9973421
36,0.4370047,0.4073452,-0.9912301
37,0.4427212,0.4062431,-0.9874614
38,0.4519953,0.4035919,-0.9829672
39,0.4545293,0.3994668,-0.9828345
40,0.4478972,0.3999506,-0.9840652
41,0.4475213,0.4056883,-0.9858566
42,0.4510807,0.404581,-0.9847885
43,0.454288,0.4027191,-0.9820615
44,0.4562132,0.4024123,-0.9802083
45,0.4578916,0.4015832,-0.9763965
46,0.4591815,0.4007981,-0.9718376
47,0.4608899,0.3998444,-0.9684021
