Index,X,Y,Z
0,0.6431735,0.4016879,-0.5668529
1,0.6463317,0.4062186,-0.5720082
2,0.647974,0.4078869,-0.5755973
3,0.6514499,0.4079692,-0.5783798
4,0.6534244,0.4073122,-0.5814102
5,0.6564869,0.4047965,-0.5854293
6,0.6607788,0.4020526,-0.5911646
7,0.6652547,0.4003768,-0.5980511
8,0.672271,0.3992541,-0.6085283
9,0.6804289,0.3997162,-0.6213902
10,0.6893367,0.4010099,-0.6372233
11,0.6982352,0.402072,-0.6549463
12,0.7063494,0.4023253,-0.6722746
13,0.7140186,0.4017593,-0.6942797
14,0.7200123,0.4010397,-0.7187237
15,0.723596,0.4009132,-0.745351
16,0.7248735,0.402361,-0.7737315
17,0.7259686,0.4035296,-0.8010353
18,0.7255076,0.4049607,-0.8310128
19,0.7249765,0.4048726,-0.8614694
20,0.7246926,0.4045841,-0.8900011
21,0.7221038,0.404442,-0.9200737
22,0.7187997,0.4051532,-0.949954
23,0.711436,0.4066462,-0.9789777
24,0.7025676,0.4093353,-1.004352
25,0.6940433,0.4107074,-1.029598
26,0.6837134,0.4111737,-1.050398
27,0.6734079,0.4116046,-1.068371
28,0.6620839,0.4110355,-1.08449
29,0.6494609,0.4100266,-1.098877
30,0.6357166,0.4083383,-1.112852
31,0.6222268,0.4077503,-1.126426
32,0.6088811,0.40739,-1.137801
33,0.5951358,0.4075695,-1.14774
34,0.5815364,0.4083238,-1.157571
35,0.5681233,0.4083303,-1.167117
36,0.5532422,0.4074165,-1.172692
37,0.528314,0.407189,-1.18143
38,0.5177023,0.4065356,-1.187355
39,0.5102016,0.4057409,-1.192212
40,0.5030032,0.4050146,-1.197258
41,0.4992004,0.4041445,-1.202431
42,0.4955212,0.4043199,-1.206372
43,0.4923864,0.4050643,-1.208718
44,0.4904368,0.4057603,-1.209438
45,0.4908607,0.4063077,-1.209291
46,0.4928028,0.406166,-1.208008
47,0.4945234,0.4061996,-1.206845
48,0.4993178,0.4057861,-1.204753
49,0.5023197,0.4053563,-1.202806
50,0.5061843,0.4038973,-1.199718
51,0.5088146,0.4022485,-1.196134
52,0.5103021,0.4008229,-1.192714
53,0.5117724,0.4003851,-1.189258
54,0.5133296,0.3997637,-1.185305
55,0.5160099,0.3996345,-1.181182
